trail,city
 Kloster Weltenburg Donaudurchbruch Wurzberg,Naturschutzgebiet Weltenburger Enge/ Donaudurchbruch
 Berglauf zur Kampenwand genial vital Tour ,"Grassau, Bavaria, Germany"
" Große Runde über Entenbühl, Havran und Schellenberg","Flossenbürg, Bavaria, Germany"
 Marktschellenberg to Hallein via Mehlweg,"Marktschellenberg, Bavaria, Germany"
 Hinterwössen Stoibenmöseralm and Taubensee,Gebirgskette Chiemgauer Alpen
 Via Alpina Purple Trail A : Engedey Neue Traunsteiner Hütte,Berchtesgaden National Park
 Rabenstein nach Kirchahorn,"Ahorntal, Bavaria, Germany"
 Marathon in Neuhaus a. d. Pegnitz ,Franconian Switzerland-Franconian Jura Nature Park
 From Berchtesgaden to Königssee,"Berchtesgaden, Bavaria, Germany"
 Pommelsbrunn Loop Lichtenstein Castle,Naturpark Fränkische Schweiz Veldensteiner Forst
 Vom Kreuzberg nach Bad Neustadt an der Saale,Naturpark Bayerische Rhön 
 Eibsee loop and Eibsee trail,"Grainau, Bavaria, Germany"
 Rund um Alfeld,"Alfeld, Bavaria, Germany"
 Vom Söllereck zur Fiderepasshütte über Walser Hammerspitze,"Oberstdorf, Bavaria, Germany"
 Eibachgrund,"Hilpoltstein, Bavaria, Germany"
 Ebensfeld Prächting Altmainsee,Franconian Switzerland-Franconian Jura Nature Park
 Eußenheim zur Dicken Eiche als Rundweg ab Dorfplatz,"Eußenheim, Bavaria, Germany"
 Vogelwiese Simmereinöd Steinbühler Gesenke,Naturpark Oberer Bayerischer Wald
 Loop at Röslau,Naturpark Fichtelgebirge
 Winklmoosalm zum Dürrnbachhorn,"Reit im Winkl, Bavaria, Germany"
 Around the Lichtenberg,Naturpark Bayerische Rhön 
 Neuhaus-Rundwanderweg No.,"Neuhaus an der Pegnitz, Bavaria, Germany"
 Goldsteig Stage : Friedenfels to Falkenberg,Naturpark Steinwald
 Altenstadt Kellmünz (Kreis Neu-Ulm Tour Nr. ),"Altenstadt, Bavaria, Germany"
 Sachrang and Spitzsteinhaus Loop,"Aschau im Chiemgau, Bavaria, Germany"
 At the Seufzigspitze,Spessart Nature Park
 Obere Hausbachklamm Oberreute,"Oberreute, Bavaria, Germany"
 Wanderung von Rdolfshöhe nach Batzhausen,"Parsberg, Bavaria, Germany"
 Neuhaus a. d. Pegnitz nach Königstein,"Königstein, Bavaria, Germany"
 To Jochalm via Kesselbach Falls from Kochelsee south bank,"Kochel , Bavaria, Germany"
 Krüns southwest,"Krün, Bavaria, Germany"
 Kuckuckslauf Königshofen ( km),Spessart Nature Park
 Around the Happurger See,"Happurg, Bavaria, Germany"
 Seinskopf Feldernkopf Soiernspitze,Naturschutzgebiet Karwendel und Karwendelvorgebirge
" Obertrubach ""green leaf""",Naturpark Fränkische Schweiz Veldensteiner Forst
 Almbachklamm and salt mine from Berchtesgaden,"Berchtesgaden, Bavaria, Germany"
 Obertsdorf Walrafweg Berggasthof Gaisalpe,"Oberstdorf, Bavaria, Germany"
 Zum Kemptener Naturfreundehaus ab Blaichach,Naturpark Nagelfluhkette 
 Weißbach to the Reiteralm,Naturschutzgebiet Östliche Chiemgauer Alpen
 Paul-Pfinzing-Trail,Naturpark Fränkische Schweiz Veldensteiner Forst
 Archäologie-Tour Wertachtal,"Pforzen, Bavaria, Germany"
 Icking Irschenhausen,"Icking, Bavaria, Germany"
 Wanderung auf den Grünstein,"Schönau am Königsee, Bavaria, Germany"
 Hohenstadt Rundweg : Eichhörnchen-Markierung,"Pommelsbrunn, Bavaria, Germany"
 Zum Allgäuer Alpen Schrecksee ab Auele,"Bad Hindelang, Bavaria, Germany"
 Rund um Burghaig,"Kulmbach, Bavaria, Germany"
 Rundwanderweg Monheim ,"Kaisheim, Bavaria, Germany"
 Therapeutic hiking trail,Naturpark Fränkische Schweiz Veldensteiner Forst
 Schnaittach Glatzenstein Loop,Naturpark Fränkische Schweiz Veldensteiner Forst
 Gangolfsberg und Thüringer Hütte,Naturschutzgebiet Gangolfsberg
 Eckbauer Hintergraseck Vordergraseck Partnachklamm,"Garmisch-Partenkirchen, Bavaria, Germany"
 Zur Wolfskapelle über Böbrach,"Böbrach, Bavaria, Germany"
 Alfeld – Claramühle,"Alfeld, Bavaria, Germany"
 Hammermühle-Liba-Hohenberg,"Hohenberg an der Eger, Bavaria, Germany"
 Isar Loop near Krün,Naturschutzgebiet Karwendel und Karwendelvorgebirge
 Markgräflicher Klosterweg ab Bayreuth,"Bayreuth, Bavaria, Germany"
 Pleinfeld ,"Pleinfeld, Bavaria, Germany"
 Rundwanderweg Kipfenberg ,"Walting, Bavaria, Germany"
 Goldsteig Alternative Nr.: Ruselabsatz-Schaufling-Datting,Bavarian Forest Nature Park
 To the Kneifelspitze from Hintergern,"Maria Gern, Bavaria, Germany"
 Panoramaweg Höhenrainweg ab Eibsee,"Grainau, Bavaria, Germany"
 Von Mariaort über Etterzhausen,"Pettendorf, Bavaria, Germany"
 Von Schnaitsee zum Weitsee und Berger See,"Schnaitsee, Bavaria, Germany"
 Heilige Länder Tour ,Haßberge Nature Park
 City triangle circular route ,"Burglengenfeld, Bavaria, Germany"
 Schönau am Königssee nach St. Bartolomä,Berchtesgaden National Park
 Spitzingscheibe,"Bayrischzell, Bavaria, Germany"
 Circular hiking trail no.: All around Breitenbrunn,Naturpark Altmühltal
  Kellertour: Greuth Weppersdorf Willersdorf Stibarlimbach,"Höchstadt an der Aisch, Bavaria, Germany"
 Panoramasteig Patersdorf: Wanderweg ,Bavarian Forest Nature Park
 Tegernseer Bräustüberl from Rottach-Egern,"Rottach-Egern, Bavaria, Germany"
 Hupprechts-Wachters Alpe,"Waltenhofen, Bavaria, Germany"
 Rund um die Talsperre Frauenau,Bavarian Forest National Park
 Dachau nach Oberbachern Rundwanderung,"Dachau, Bavaria, Germany"
 Wolfsteinweg Höhenberg nach Schafhof,"Neumarkt in der Oberpfalz, Bavaria, Germany"
 Rund um Stangenroth und Steinberg,Naturpark Bayerische Rhön 
 Langenleiten Kissinger Hut,Naturpark Bayerische Rhön 
 Reichertshausen Hohenkammer Rundweg,"Reichertshausen, Bavaria, Germany"
 Steinach an der Saale Rundweg,Naturpark Bayerische Rhön 
 Von Naila durchs Höllental,Naturpark Frankenwald
 Kaitersberg Panoramaweg,Naturpark Oberer Bayerischer Wald
 Riffelriss and Hochthörlehütte from Eibsee,"Grainau, Bavaria, Germany"
 Oberasbacher Rundweg (Nr. ),"Oberasbach, Bavaria, Germany"
 Vom Kloster Banz zum Main,"Bad Staffelstein, Bavaria, Germany"
 Solar Patersholz Eibach,"Hilpoltstein, Bavaria, Germany"
 Weilbach Loop : Gotthardsbergweg,Naturpark Bayerischer Odenwald
 Geoweg Urdonautal,"Wellheim, Bavaria, Germany"
 Von Labersricht nach Ottosau,"Neumarkt in der Oberpfalz, Bavaria, Germany"
" Unterschleißheim, Berglwald und Schlosspark Oberschleißheim","Unterschleißheim, Bavaria, Germany"
 Hiking in the ZugspitzLand Farchant Waldsaumweg,"Farchant, Bavaria, Germany"
 From Stephanskirchen around the Hartsee,Naturschutzgebiet Eggstätt-Hemhofer Seenplatte
 Rund um Regelsbach,"Rohr, Bavaria, Germany"
 Von Meilenhofen dem Haunsbach entlang,"Mainburg, Bavaria, Germany"
 Abenberg Nr. ,"Georgensgmünd, Bavaria, Germany"
 Recreation area Obere Wagensass ,"Sulzbach-Rosenberg, Bavaria, Germany"
 Schloss Hirschling Wichtelfels Stockenfels Binkenhof,Naturwaldreservar Teufelsgsperr
 Rothsee nach Eckersmühlen,"Hilpoltstein, Bavaria, Germany"
 Hiking in the ZugspitzLand Röhrlebach Ursprünge Farchant,"Oberau, Bavaria, Germany"
 Goldsteig Alternative Nr.: Thurmansbang-Saldenburg,Bavarian Forest Nature Park
 Baldenschwanger Panoramarunde,Naturpark Nagelfluhkette 
 Hintersee zum Kammerlinghorn,Berchtesgaden National Park
 Hündle-Erlebniswanderweg,Naturpark Nagelfluhkette 
 Arnsberg Böhming Gungolding,Naturpark Altmühltal
 Gothendorf Biederbach,"Arberg, Bavaria, Germany"
 Von Tiefenbach entlang dem Breitach,"Oberstdorf, Bavaria, Germany"
 Zur Hochplatte  ab Oberau,"Schleching, Bavaria, Germany"
 Hochrhöner Stage : Stralsbach Oberweißbrunn,Naturpark Bayerische Rhön 
 Wildensteiner Steig,"Dietfurt an der Altmühl, Bavaria, Germany"
 Loop  Igelsbachsee,"Spalt, Bavaria, Germany"
 Rundwanderweg Pflaumheim : Wartturm-Weg,"Großostheim, Bavaria, Germany"
 Around Hallenknopf and Mandelberg,Spessart Nature Park
 Kastler castle tour,Naturpark Steinwald
 Absberg ,"Absberg, Bavaria, Germany"
 Jubilee Trail Gundelsheim,"Gundelsheim, Bavaria, Germany"
 WEZ Schernfeld Rundweg,Naturschutzgebiet Vogelinsel im Altmühlsee
 To the Staffelberg,Naturpark Fränkische Schweiz Veldensteiner Forst
 Von Seebruck nach Chieming,"Seeon-Seebruck, Bavaria, Germany"
 Almbachklamm über Maria Gern ab Berchtesgaden,"Berchtesgaden, Bavaria, Germany"
 Marienthal nach Hirschling,"Nittenau, Bavaria, Germany"
 Wagenthalhütte ab Grenzhammer,Naturpark Fichtelgebirge
 Auf den Jenner über die Wasserfallalm,Berchtesgaden National Park
 Über Eulenberg und Ramspau,"Regenstauf, Bavaria, Germany"
 Aus Baunach um Zentberg und Semberg,Naturpark Haßberge
 Rundwanderweg Klingenberg : Fuchs,"Klingenberg am Main, Bavaria, Germany"
 SalzAlpenWeg: Traunstein-Zwing,"Inzell, Bavaria, Germany"
 Konnersreuth ,Naturpark Fichtelgebirge
 Weichweg Pommersfelden,"Pommersfelden, Bavaria, Germany"
 Ochsenkopfweg,"Bischofsgrün, Bavaria, Germany"
 Schützensteig on Kleiner Jenner,Berchtesgaden National Park
 Brannenburg Kiesgruben,"Brannenburg, Bavaria, Germany"
 Röthenbach Richtung Waldfriedhof,"Altdorf bei Nürnberg, Bavaria, Germany"
 Wanderung zur Kammerlingalm,Berchtesgaden National Park
 Königstein Fichtenhof Loop,Naturpark Fränkische Schweiz Veldensteiner Forst
 Raiten: Buchberg Rundweg,"Unterwössen, Bavaria, Germany"
 Reichertshausen Paunzhausen,"Reichertshausen, Bavaria, Germany"
 Druidenrunde von Muggendorf zum Druidenhain und Frauenstein,"Wiesenttal, Bavaria, Germany"
 Albsteig Etappe : Mönchsdeggingen Bopfingen,"Mönchsdeggingen, Bavaria, Germany"
 Column IVV : Wernfels Castle,"Spalt, Bavaria, Germany"
 Großheubach Die Pforte zum Himmel,Naturpark Bayerischer Odenwald
 Beekeeping circuit no. ,"Feuchter Forst, Bavaria, Germany"
 Eckhartsreuth Untermainsbach Jugenberg,Naturpark Oberer Bayerischer Wald
 Von Hirschbichl nach Lohfeyer,"Ramsau bei Berchtesgaden, Bavaria, Germany"
 Über die Ellegg Höhe zum Horn Oy-Mittelberg,"Oy-Mittelberg, Bavaria, Germany"
 Rotwand Überschreitung,Landschaftsschutzgebiet Rotwand
 Ammergauer -Gipfel-Tour,"Ettaler Forst, Bavaria, Germany"
 Walderlebnispfad und Zauberwald bei Schönberg,"Schönberg, Bavaria, Germany"
 Steinmühle über Loibling und Waffenhof,"Roding, Bavaria, Germany"
 Zubringer zum Fernwanderweg Europäischer Wasserscheideweg bei Theuerbronn,Frankenhöhe Nature Park
 Lohhof nach Ottershausen,"Unterschleißheim, Bavaria, Germany"
 Solar Jahrsdorf Eibach,"Hilpoltstein, Bavaria, Germany"
 Kirchröttenbach Epperlesberg Loop,Naturpark Fränkische Schweiz Veldensteiner Forst
 Schwarzer Fuchs Rundwanderung ab Hemsbach,Spessart Nature Park
 Panoramawanderweg Taubertal (Fernwanderweg),"Rothenburg ob der Tauber, Bavaria, Germany"
 Egloffsteiner Kulturweg Nr. ,"Egloffstein, Bavaria, Germany"
 Sebaldweg,"Bad Hindelang, Bavaria, Germany"
 Steinbergrundweg,"Neumarkt in der Oberpfalz, Bavaria, Germany"
 Zeil am Main Hohe Wann Drei-Länder-Stein,"Zeil am Main, Bavaria, Germany"
 Von Regenhütte zum Kleinen und Großen Falkenstein,Bavarian Forest National Park
 Von Pfronten zur Burg Falkenstein und der Schlossangeralm,"Pfronten, Bavaria, Germany"
 Rundwanderweg Heidenheim ,Naturpark Altmühltal
 Kulturweg Aschaffenburg : Schweinheimer Passion,Spessart Nature Park
 Ammerthaler Runde,"Ammerthal, Bavaria, Germany"
 Faulbach nach Breitenbrunn,"Faulbach, Bavaria, Germany"
 Kärlingerhaus zum Carl-von-Stahl-Haus,Berchtesgaden National Park
 Wanderweg Fürth – Roßtal,"Fürth, Bavaria, Germany"
 Böbrach Wanderroute ,"Böbrach, Bavaria, Germany"
 Rund um Kohlau,"Rinchnach, Bavaria, Germany"
 Wanderweg Nr.  Eußenheim Über Schönarts,"Eußenheim, Bavaria, Germany"
 Wanderung über den Hochgrat,Naturpark Nagelfluhkette 
 Roter Schrägstrich Aschaffenburg Hohe Wart,"Aschaffenburg, Bavaria, Germany"
 Wannbach-Hetzelsdorf Loop,Naturpark Fränkische Schweiz Veldensteiner Forst
 Kürn Wolferszwinger Weiher,"Bernhardswald, Bavaria, Germany"
  Rund um den Massenberg,"Spalt, Bavaria, Germany"
 Von Rohrbach nach Wall,"Rohrbach, Bavaria, Germany"
 Stadelmühle nach Hotel Gut Wildbad durch Schwänringholz,"Huisheim, Bavaria, Germany"
 Loop at Wülfersreuth,Naturpark Fichtelgebirge
 Wandern in Postbauer-Heng: Keltenrunde,"Postbauer-Heng, Bavaria, Germany"
 Monheimer Alb ,"Huisheim, Bavaria, Germany"
 Medium Geisberg tour,Naturpark Fränkische Schweiz Veldensteiner Forst
 Auf dem Immenstädter Horn,Naturpark Nagelfluhkette 
 Von Dürnhart nach Mühlhausen,"Biburg, Bavaria, Germany"
 Von Bürgstadt nach Freudenbach und Großheubach,"Bürgstadt, Bavaria, Germany"
 Loop at Rehau,Naturpark Altmühltal
 Mühlbacher Karl-Straub Weg,"Bad Neustadt an der Saale, Bavaria, Germany"
 Von “Hölzernen Männern” zur verschwundenen Burg,Naturpark Haßberge
 Schweinfurter Wanderlust: Verwunschen-Verwunschen,"Grafenrheinfeld, Bavaria, Germany"
 Durch die Seenlandschaft an der Donau,"Elchingen, Bavaria, Germany"
 Neuhaus-Rundwanderweg No.,"Neuhaus an der Pegnitz, Bavaria, Germany"
 Wolfach-Radweg,"Vilshofen an der Donau, Bavaria, Germany"
 Von Scheßlitz über die Giechburg und Würgau,Franconian Switzerland-Franconian Jura Nature Park
 Around the Kösseine,Naturpark Fichtelgebirge
 Heilige Landschaft Pfaffenwinkel: Sprudelnde Quellen,"Peißenberg, Bavaria, Germany"
 Naturraum Hofau-Innleiten,"Stephanskirchen, Bavaria, Germany"
 Wandertrilogie Etappe  Oberstaufen-Oberreute,"Oberstaufen, Bavaria, Germany"
 Village tour Hausen St. Gangolf,Naturpark Bayerische Rhön 
 Zum Waldspielplatz und zum Grünten,"Wertach, Bavaria, Germany"
 Wanderung zur Salmaser Höhe ab Wiedemannsdorf,Naturpark Nagelfluhkette 
 Schlackenmühle nach Schlockenau über Hühnersmühle,"Presseck, Bavaria, Germany"
 Jurasteig: Hirschwald-Schlaufe,"Rieden, Bavaria, Germany"
 Hog hiking trail Reckendorf,Haßberge Nature Park
 Plankenfels nach Neuwelt,"Plankenfels, Bavaria, Germany"
 Hikers Regenstauf: Spechtweg,"Regenstauf, Bavaria, Germany"
 Zubringer Urdonautalsteig: Bahnhof Burgheim,"Rennertshofen, Bavaria, Germany"
 Von Geisenfeld nach Rohrbach der Ilm entlang,"Geisenfeld, Bavaria, Germany"
 Karwendeltour: Krinner-Kofler-Hütter-Karwendelhaus,Karwendel Nature Park
 Vom Braunweiher  zum Seerosenweiher,"Manching, Bavaria, Germany"
 Vom Königssee zum Hintersee,"Schönau am Königsee, Bavaria, Germany"
 Engelbergtrails,Naturpark Bayerischer Odenwald
 Von der Alpe Hohenschwand zum Imberg und zurück,"Oberstaufen, Bavaria, Germany"
 Sindersbachsee and Lower Basin,Spessart Nature Park
 Circular hiking trails Baunach: Deer trail,"Baunach, Bavaria, Germany"
 Spurensuche am Eginger See,"Eging am See, Bavaria, Germany"
 Von Dürnhart nach Abensberg,"Biburg, Bavaria, Germany"
 Kleiner Knetzberg,"Knetzgau, Bavaria, Germany"
 Über den Hündle,Naturpark Nagelfluhkette 
 Von Oberschleißheim zur Birkhahnstraße,"Oberschleißheim, Bavaria, Germany"
 Drahtzieherweg westliche Schleife,"Allersberg, Bavaria, Germany"
 Sagensteig,Naturpark Oberer Bayerischer Wald
 Fränkischer Rotwein Wanderweg (Fernwanderweg),Spessart Nature Park
