trail,city
 Weltenburger Wanderwege: I Donauroute,Naturpark Altmühltal
 Vom Pflegersee zum Feldernkopf über die Enningalm,Naturschutzgebiet Ammergebirge
 Brecherspitz,"Schliersee, Bavaria, Germany"
 Illschwang zum Osterloch,"Illschwang, Bavaria, Germany"
 Nussdorf auf den Heuberg,"Nußdorf am Inn, Bavaria, Germany"
 Hintersee-Zauberwald-Ramsau,Berchtesgaden National Park
" Ohlstadt zur Veste Schaumburg, dem Großen Illing und zur Kaseralm","Ohlstadt, Bavaria, Germany"
 Goldsteig Stage : Marktredwitz to Friedenfels,Naturpark Steinwald
 Marathon Füssen,"Füssen, Bavaria, Germany"
 Goldsteig Northern Route Stage : Eck to Großer Arber,Bavarian Forest Nature Park
 Hörndlwand Old Schmidkunzweg,Naturschutzgebiet Östliche Chiemgauer Alpen
 Weissbach Gorge,"Schneizlreuth, Bavaria, Germany"
 Via Alpina Purple Trail A : Tutzinger Hütte Herzogstand,"Benediktbeuern, Bavaria, Germany"
" Würzburg, Marienberg, and Steinbachtal","Würzburg, Bavaria, Germany"
 Von Rottach auf den Falkenstein,"Rettenberg, Bavaria, Germany"
 Karwendel to Mittenwald,"Mittenwald, Bavaria, Germany"
 Riedenburg loop ,Naturpark Altmühltal
 Frankenweg von Heiligenstadt nach Behringersmühle über dem Streitberg,Naturpark Fränkische Schweiz Veldensteiner Forst
 Kloster Andechs Runde,"Andechs, Bavaria, Germany"
 Premiumwanderweg: Klausenbachklamm,"Reit im Winkl, Bavaria, Germany"
" Hundham, Sternplatte und Schwarzenberg Rundweg","Fischbachau, Bavaria, Germany"
 Rappenseekopf über Rappenseehütte und schwarze Hütte,Naturschutzgebiet Allgäuer Hochalpen
 Auf den Frieder,"Garmisch-Partenkirchen, Bavaria, Germany"
 Gipfelwanderung zum Seekarkreuz,"Lenggries, Bavaria, Germany"
 Notkarspitze über Ochsensitz und Ziegelspitz,Naturschutzgebiet Ammergebirge
 Frankenweg von Schesslitz nach Heiligenstadt via Glechburg,"Scheßlitz, Bavaria, Germany"
 Lohberghütte zum Schwarzeck,"Lohberg, Bavaria, Germany"
 Große Riffelwandspitze (Abstieg),"Grainau, Bavaria, Germany"
 Große Dillbergrunde,"Postbauer-Heng, Bavaria, Germany"
 Imberg Hochwies Alpe Glutschwanden,Naturpark Nagelfluhkette 
 Von Bad Brückenau auf den Dreistelz,Naturpark Bayerische Rhön 
 Maria im Weingarten and Kammerberg Loop,"Volkach, Bavaria, Germany"
 From Garmisch-Partenkirchen to the Kreuzeckhaus,"Garmisch-Partenkirchen, Bavaria, Germany"
 Großer Ostersee-Rundweg,"Iffeldorf, Bavaria, Germany"
 Zum Osser über den Grenzpfad,Naturpark Oberer Bayerischer Wald
 Hochgrat-Runde,"Oberstaufen, Bavaria, Germany"
 Frankenweg von Behringersmühle nach Egloffstein über Kirchenbirkig,Naturpark Fränkische Schweiz Veldensteiner Forst
 Jenner Schönau am Königssee,"Schönau am Königsee, Bavaria, Germany"
 Zur Hochries,"Samerberg, Bavaria, Germany"
 Kindinger Burgenweg,Naturpark Altmühltal
 Hiking in the ZugspitzLand Grainau Zum Eibsee,"Grainau, Bavaria, Germany"
 -Meter-Höhenweg in der Hersbrucker Schweiz,"Pommelsbrunn, Bavaria, Germany"
 Westallgäuer Wasserwege,"Weiler-Simmerberg, Bavaria, Germany"
 Through theMärchenwald to Butzn Wirt,"Ruhpolding, Bavaria, Germany"
 Hechtsee Thiersee Gießenbachklamm,"Kiefersfelden, Bavaria, Germany"
 Kampenwand via ferrata,Gebirgskette Chiemgauer Alpen
 Goldsteig Northern Route Stage : Herzogau to Furth im Wald,Naturpark Oberer Bayerischer Wald
 Perlacher Forst bei Taufkirchen,"Taufkirchen, Bavaria, Germany"
 Königsbachalm über die Wasserfallalm,Berchtesgaden National Park
 Goldsteig Zuweg Nr. : Bodenmais-Kleiner Arber,Bavarian Forest Nature Park
 Altmühltal-Panoramaweg Etappe : Beilngries nach Dietfurt,Naturpark Altmühltal
" Wasserspitz, Rinnenspitz, und Bodenschneid","Schliersee, Bavaria, Germany"
 Hochgrat Panoramarunde,"Oberstaufen, Bavaria, Germany"
 Hochplatte Rundweg,"Marquartstein, Bavaria, Germany"
 Sonntagshorn and Kraxenbach Valley,Naturschutzgebiet Östliche Chiemgauer Alpen
 Paradiestal,"Stadelhofen, Bavaria, Germany"
 -Seen-Rundwanderung bei Stephanskirchen,Naturschutzgebiet Eggstätt-Hemhofer Seenplatte
 Altmühltal-Panoramaweg Etappe : Dietfurt nach Riedenburg,Naturpark Altmühltal
 On the Danube in Lauingen,"Lauingen, Bavaria, Germany"
 To the Hainburg,Naturpark Fränkische Schweiz Veldensteiner Forst
 From Unterau to Königssee,"Berchtesgaden, Bavaria, Germany"
 Unterbrunn ins Würmtal und Königswieser Forst,"Gauting, Bavaria, Germany"
 Premiumwanderweg: Kuppenweg,UNESCO-Biosphärenreservat Rhön
 Spitzing Lake to the Rotwand Hut,Landschaftsschutzgebiet Rotwand
 -Meter-Höhenweg Pommelsbrunn,Naturpark Fränkische Schweiz Veldensteiner Forst
 Neuhausen-Nymphenburg,Schlosspark Nymphenburg
 Stiealm ab Untermberg,"Wackersberg, Bavaria, Germany"
 Schinder,"Rottach-Egern, Bavaria, Germany"
 Obermaiselstein Grasgeheren,"Obermaiselstein, Bavaria, Germany"
 Auf den Richtstrichkopf,"Ruhpolding, Bavaria, Germany"
 Johannesberg Hahnenkamm,Spessart Nature Park
 Naturpfad Ahornreitweg,"Schwangau, Bavaria, Germany"
 Schwarzenberg Loop,"Oberaudorf, Bavaria, Germany"
 Vom Achenpass auf die Hochalm,"Lenggries, Bavaria, Germany"
 Fichtelsee Seehaus,"Fichtelberg, Bavaria, Germany"
 Mangfalltal und Valley Klosterstüberl Wanderung,"Valley, Bavaria, Germany"
 Christertshofen Rennertshofen (Kreis Neu-Ulm Tour Nr. ),"Buch, Bavaria, Germany"
 Vom Mittag ins Steigbachtal über Steineberg,Naturpark Nagelfluhkette 
 Goldsteig Northern Route Stage : Furth im Wald to Schönbuchen,Naturpark Oberer Bayerischer Wald
 Premiumwanderweg: Basaltweg,Naturpark Bayerische Rhön 
 Rund um Leutenbach,Ehrenbürg (Walberla)
 Frankenweg  von Wallenfels nach Kronach via Radspitze,Naturpark Frankenwald
 Kötztinger Hütte,"Arrach, Bavaria, Germany"
 Goldsteig Northern Route Stage : Lusen to Mauth,Bavarian Forest National Park
 Kleiner Osser and Grosser Osser,Naturpark Oberer Bayerischer Wald
 Frankenweg von Kulmbach nach Oberlangheim via Isling,"Kulmbach, Bavaria, Germany"
 Oberau zu Krottenkopfhütte und Abstieg über Esterbergalm und Farchant,"Farchant, Bavaria, Germany"
 Wanderung zur Krokusblüte am Hündle,Naturpark Nagelfluhkette 
 Goldsteig Northern Route Stage : Großer Arber to Bayerisch Eisenstein,Bavarian Forest Nature Park
 Houbirg,"Pommelsbrunn, Bavaria, Germany"
 Frankenweg von Kronach nach Kulmbach,Naturpark Frankenwald
 Frankenweg von Naila nach Wallenfels über den Döbraberg,Naturpark Frankenwald
 Natural Spectacle Kreuth The Water Adventure Trail along the Weißach,"Kreuth, Bavaria, Germany"
 Rund ums Walberla,"Wiesenthau, Bavaria, Germany"
 Gipfelwanderung Hoher Göll ab Ofnerboden,Berchtesgaden National Park
 Reisberg ab Leutenbach,"Leutenbach, Bavaria, Germany"
 Walchensee Gorge,"Kochel , Bavaria, Germany"
 Naturkundlicher Rundwanderweg Plech,"Plech, Bavaria, Germany"
 Premiumwanderweg: Hüttentour,Naturpark Bayerische Rhön 
 Unteremmendorf durch den Wald,"Kinding, Bavaria, Germany"
 Goldsteig Stage : Tännesberg to Oberviechtach,Naturpark Oberpfälzer Wald
 Oberer Horizontalsteig zwischen Lusen und Rachel,Bavarian Forest National Park
" Luisenburg, Haberstein, Felsenlabyrinth",Naturpark Fichtelgebirge
 Brünstelkopf trail,Naturschutzgebiet Ammergebirge
 From Weitsee to Stuhlkopf via Gräbenalm,Naturschutzgebiet Östliche Chiemgauer Alpen
 Entlang der Donau in NSG Weltenburger Enge,Naturschutzgebiet Weltenburger Enge/ Donaudurchbruch
 Fischhaus Saldenburg Obere Ilz,"Ruderting, Bavaria, Germany"
" Burgruine Neideck, Brunhildenstein und Trainmeuseler Brunnen","Wiesenttal, Bavaria, Germany"
 Goldsteig: From Grandsberg to Hirschenstein,Bavarian Forest Nature Park
 Rund um den Hollenberg,"Pottenstein, Bavaria, Germany"
 Friesenhausen Schwedenschanze,Haßberge Nature Park
 Wendelstein Expeditions Geology Loop,"Bayrischzell, Bavaria, Germany"
 Bahntrassenradweg Amberg-Schmidmühlen,Naturpark Hirschwald
 Rabenberg with Observation Tower,Naturpark Nördlicher Oberpfälzer Wald
 Achenkirch-Wildbad Kreuth,"Kreuth, Bavaria, Germany"
 Von der Burg Hohenberg zur Eger,Naturpark Fichtelgebirge
 Pottenstein () bis Teufelshöhle,"Pottenstein, Bavaria, Germany"
" Steinkartrundweg: Wanderweg , A","Bad Griesbach, Bavaria, Germany"
 Around the Ainringer Moor,"Ainring, Bavaria, Germany"
 Höhenglücksteig (Teil ),"Pommelsbrunn, Bavaria, Germany"
 Schermshöhe Eibgrat Reuthof,Naturpark Fränkische Schweiz Veldensteiner Forst
